,Coefficient,Standard_Error,T_Value,P_Value
const,2.0944070620661086,0.6582642167516272,3.1817118548559344,0.0015096026770526779
Supplier_Reliability_Score,-0.6179157372739145,0.6312360806001818,-0.9788980007074338,0.32786928370058155
Historical_Disruption_Count,-0.01006153007064453,0.015941160591420294,-0.6311667217040492,0.5280770613228325
Available_Historical_Records,0.0003030249850497974,0.00032015188077627425,0.9465038415987151,0.3441223896346438
Parameter_Change_Magnitude,0.5780478010825656,0.6498271425410445,0.8895408690104921,0.37392834839502476
Communication_Cost_MB,-0.14863415930963378,0.07122828290836793,-2.086729501830686,0.03716770936342762
Energy_Consumption_Joules,0.0013404258574571666,0.0006947909117351127,1.9292507066761988,0.05398500342772904
Quantity_Ordered,3.4722128357706405e-05,0.0003067346335624139,0.11319924311918692,0.9098955224278578
Order_Value_USD,5.520030120780935e-06,6.2820170714697475e-06,0.8787034575010257,0.37977508302761853
